Route Type,Route,Stop Code,Stop Seq,Stop Name,Stop Name Marathi,LAT,LONG,Stage   
BRTS,100-D,100-D-20,20,Wakad Phata,वाकड फाटा,18.587935,73.789569,9    
BRTS,100-D,100-D-21,21,Rakshak Chowk,रक्षक चौक,18.581640,73.798309,9    
BRTS,100-D,100-D-22,22,Aundh Hospital,औंध हॉस्पिटल,18.575034,73.805160,10    
BRTS,100-D,100-D-23,23,Sangvi Phata,सांगवी फाटा,18.573146,73.806917,10    
BRTS,100-D,100-D-24,24,Aundhgaon,औंध गांव,18.565485,73.812355,11    
BRTS,100-D,100-D-25,25,Bodygate,बॉडीगेट,18.563207,73.813331,11,,"18.67339,73.97004"    
BRTS,100-D,100-D-26,26,Bremen Chowk,ब्रेमण चौक,18.560593,73.814840,11,,"18.67213,73.96707"    
BRTS,100-D,100-D-27,27,Sindh Colony Aundh Road,सिंध कॉलनी औंध रोड,18.556689,73.817807,11,,"18.67150,73.96440"    
BRTS,100-D,100-D-28,28,Kasturba Gandhi Vasahat,कस्तुरबा गांधी वसाहत,18.555199,73.818886,12,," 18.67013,73.95900"    
BRTS,100-D,100-D-29,29,Gol Market Aundh Road,गोल मार्केट औंध रोड,18.551525,73.821579,12,,"18.66805,73.95325"    
BRTS,100-D,100-D-30,30,Bal Kalyan Sanstha,बाल कल्याण संस्था,18.548740,73.823610,12,,"18.66790,73.95248"    
BRTS,100-D,100-D-31,31,Pune Vidhyapeeth Gate,पुणे विद्यापीठ गेट,18.541450,73.830160,13,,"18.66603,73.94210"    
BRTS,100-D,100-D-32,32,E Square,ई स्केअर,18.538133,73.834743,13,,"18.66604,73.93488"    
BRTS,100-D,100-D-33,33,Pumping Station,पंपिंग स्टेशन,18.532967,73.841736,13,,"18.66675,73.92909"    
BRTS,100-D,100-D-34,34,Mhasoba Gate,म्हसोबा गेट,18.532405,73.842548,14,,"18.66680,73.92868"    
BRTS,100-D,100-D-35,35,Simla Office,सिमला ऑफिस,18.530423,73.849268,14,,"18.66680,73.92844"    
BRTS,100-D,100-D-36,36,COEP Hostel,सीओईपी होस्टेल,18.528593,73.852315,14,,"18.66751,73.92538",,,, ,,,,,,,,,,
BRTS,100-D,100-D-37,37,Modern HighSchool,मॉडर्न हायस्कुल,18.525133,73.849242,14,,"18.67011,73.91917"    
BRTS,100-D,100-D-38,38,Ma Na Pa Dengle Pul,मनपा,18.523570,73.854880,15,,"18.67098,73.91678"    
BRTS,100-U,100-U-01,1,Ma Na Pa Dengle Pul,मनपा,18.523570,73.854880,1,,"18.67321,73.90962"    
BRTS,100-U,100-U-02,2,Shivaji Maharaj Putla,शिवाजी महाराज पुतळा,18.526309,73.852866,1,,"18.67648,73.90238"    
BRTS,100-U,100-U-03,3,Simla Office,सिमला ऑफिस,18.530306,73.849098,1,,"18.67654,73.90041"    
BRTS,100-U,100-U-04,4,Mhasoba Gate,म्हसोबा गेट,18.532350,73.842404,2    
BRTS,100-U,100-U-05,5,Pumping Station,पंपिंग स्टेशन,18.533059,73.841372,2,,     
BRTS,100-U,100-U-06,6,Mafatlal Bungalow,मफतलाल बंगला,18.536467,73.836483,2,,"18.67644,73.90036"    
BRTS,100-U,100-U-07,7,Rangehills Corner,रेंजहिल्स कॉर्नर,18.539017,73.833213,2,,"18.67649,73.90242"    
BRTS,100-U,100-U-08,8,Pune Vidhyapeeth Gate Aundh Road,पुणे विद्यापीठ गेट औंध रोड,18.543632,73.827019,3,,"18.67321,73.90953"    
BRTS,100-U,100-U-09,9,Bal Kalyan Sanstha,बाल कल्याण संस्था,18.548821,73.823301,3,,"18.67097,73.91671"    
BRTS,100-U,100-U-10,10,Gol Market Aundh Road,गोल मार्केट औंध रोड,18.551242,73.821523,3,,"18.67009,73.91917"    
BRTS,100-U,100-U-11,11,Kasturba Gandhi Vasahat,कस्तुरबा गांधी वसाहत,18.555117,73.818767,4,,"18.66749,73.92535"    
BRTS,100-U,100-U-12,12,Sindh Colony Aundh Road,सिंध कॉलनी औंध रोड,18.556477,73.817735,4,,"18.66683,73.92839"    
BRTS,100-U,100-U-13,13,Bremen Chowk,ब्रेमण चौक,18.560652,73.814618,4,," 18.66677,73.92871"    
BRTS,100-U,100-U-14,14,Bodygate,बॉडीगेट,18.563284,73.813126,4,,"18.66672,73.92903"    
BRTS,100-U,100-U-15,15,Aundhgaon,औंध गांव,18.565572,73.812173,5,,"18.66601,73.93486"    
BRTS,100-U,100-U-16,16,Sangvi Phata,सांगवी फाटा,18.572723,73.807175,5,,"18.66604,73.94209"    
BRTS,100-U,100-U-17,17,Aundh Hospital,औंध हॉस्पिटल,18.576771,73.803269,6,," 18.66793,73.95252"    
BRTS,100-U,100-U-18,18,Rakshak Chowk,रक्षक चौक,18.581076,73.798612,6,,"18.66803,73.95321"    
BRTS,100-U,100-U-19,19,Wakad Phata,वाकड फाटा,18.587657,73.789301,7,,"18.67008,73.95893"    
BRTS,100-U,100-U-20,20,Vishalnagar,विशालनगर,18.588361,73.784156,8,,"18.67147,73.96437"    
BRTS,100-U,100-U-21,21,Apple Hospital,अ‍ॅपल हॉस्पिटल,18.588332,73.781379,8,," 18.67209,73.96703"    
BRTS,100-U,100-U-22,22,Mankar Chowk,मानकर चौक,18.590416,73.773380,9,," 18.67336,73.97006"    
BRTS,100-U,100-U-23,23,Mount Vert Society Wakad,माऊंट व्हर्ट सोसायटी वाकड ,18.590136,73.769824,9    
BRTS,100-U,100-U-24,24,Wakad Chowk,वाकड,18.592292,73.761924,9    
BRTS,100-U,100-U-25,25,Sawtamali Mandir,सावतामाळी मंदिर,18.591750,73.754530,9    
BRTS,100-U,100-U-26,26,Hinjawadi Jakat Naka,हिंजवडी जकात नाका,18.595850,73.740270,10    
BRTS,100-U,100-U-27,27,Shivaji Chowk Hinjawadi,शिवाजी चौक हिंजवडी,18.590952,73.738890,10    
BRTS,100-U,100-U-28,28,Infosys Phase 1,इन्फोसिसिफेज 1,18.586293,73.733322,11    
BRTS,100-U,100-U-29,29,Siemens,सिमेन्स,18.591000,73.732934,11    
BRTS,100-U,100-U-30,30,Bank Of Maharashtra Hinjawadi,बँक ऑफ महाराष्ट्र,18.594083,73.729656,11    
BRTS,100-U,100-U-31,31,Tata Johnsan,टाटा जॉन्सन,18.594354,73.728016,11    
BRTS,100-U,100-U-32,32,Wipro Company Circle,विप्रो कंपनी सर्कल,18.596842,73.718571,12    
